"activity_name" "subject" "mean" "standard_deviation"
"LAYING" 1 -0.607522391836014 0.541810860813789
"SITTING" 1 -0.633405230612481 0.545990629829465
"STANDING" 1 -0.647424789141436 0.541697894681569
"WALKING" 1 -0.319105810200331 0.452318978166296
"WALKING_DOWNSTAIRS" 1 -0.297226292824001 0.455108401392903
"WALKING_UPSTAIRS" 1 -0.40699661814598 0.484430539263241
"LAYING" 2 -0.639973837827844 0.542833845115215
"SITTING" 2 -0.640597914078914 0.536435394605047
"STANDING" 2 -0.636454993012462 0.535581442112744
"WALKING" 2 -0.385708093716054 0.471330767201445
"WALKING_DOWNSTAIRS" 2 -0.259677293061387 0.465314216943524
"WALKING_UPSTAIRS" 2 -0.363983305102955 0.466287850188932
"LAYING" 3 -0.641445804875381 0.530773220003516
"SITTING" 3 -0.622780836987975 0.535003895885862
"STANDING" 3 -0.626824657789309 0.523513987945396
"WALKING" 3 -0.386865862874514 0.470010005929686
"WALKING_DOWNSTAIRS" 3 -0.350536138554404 0.471144937024153
"WALKING_UPSTAIRS" 3 -0.424274671811149 0.482849243351454
"LAYING" 4 -0.630875080725603 0.53843832230915
"SITTING" 4 -0.627074988752137 0.53016377427538
"STANDING" 4 -0.618583772157932 0.529878203088754
"WALKING" 4 -0.43055661483918 0.485103449644215
"WALKING_DOWNSTAIRS" 4 -0.363790441016887 0.485070873473019
"WALKING_UPSTAIRS" 4 -0.415260374462441 0.481912571825584
"LAYING" 5 -0.631793505517319 0.543906514945941
"SITTING" 5 -0.627014833570021 0.531260499318883
"STANDING" 5 -0.618821537531601 0.526013133623505
"WALKING" 5 -0.378535121986988 0.470928764136758
"WALKING_DOWNSTAIRS" 5 -0.296901580091929 0.479178211462616
"WALKING_UPSTAIRS" 5 -0.356353464901252 0.470596525154914
"LAYING" 6 -0.619421431071453 0.532575881650822
"SITTING" 6 -0.625412957710496 0.52808895793284
"STANDING" 6 -0.629253160586122 0.524450813648539
"WALKING" 6 -0.337513362522582 0.462582600978096
"WALKING_DOWNSTAIRS" 6 -0.198922424840441 0.477581320118573
"WALKING_UPSTAIRS" 6 -0.330642340129316 0.464501552212497
"LAYING" 7 -0.628303269447471 0.541800263632563
"SITTING" 7 -0.628833138374792 0.535940973039014
"STANDING" 7 -0.63369010626409 0.5284815975956
"WALKING" 7 -0.306764482858546 0.458249193099141
"WALKING_DOWNSTAIRS" 7 -0.317129508211319 0.473108172486423
